OSS;MATRICOLA;CODICE_COMPAGNIA;RAGIONE_SOCIALE
2573;A000012396;A044S;GENERALI ITALIA S.P.A.
2574;A000012396;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
2575;A000012396;A390S;EUROP ASSISTANCE ITALIA S.P.A.
2576;A000012397;A044S;GENERALI ITALIA S.P.A.
2577;A000012397;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
2578;A000012401;A077S;ZURICH INVESTMENTS LIFE S.P.A.
2579;A000012401;A463S;ALLIANZ SOCIETA' PER AZIONI
2580;A000012401;D866R;ZURICH INSURANCE EUROPE AG
2581;A000012401;D878R;ALLIANZ GLOBAL LIFE DAC
2582;A000012401;D891R;AWP P&C S.A.
2583;A000012401;D980R;GAMALIFE COMPANHIA DE SEGUROS DE VIDA, SA
2584;A000012401;X497R;ZURICH INSURANCE COMPANY LTD
2585;A000012404;A056M;ITAS - ISTITUTO TRENTINO-ALTO ADIGE PER ASSICURAZIONI SOCIETA' MUTUA DI ASSICURAZIONI
2586;A000012404;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
2587;A000012404;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
2588;A000012404;A183S;ITAS VITA S.P.A.
2589;A000012404;A390S;EUROP ASSISTANCE ITALIA S.P.A.
2590;A000012404;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
2591;A000012404;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
2592;A000012404;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
2593;A000012405;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
2594;A000012405;A339S;CNP VITA ASSICURA S.P.A.
2595;A000012405;A463S;ALLIANZ SOCIETA' PER AZIONI
2596;A000012409;A044S;GENERALI ITALIA S.P.A.
2597;A000012409;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
2598;A000012409;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
2599;A000012409;A390S;EUROP ASSISTANCE ITALIA S.P.A.
2600;A000012409;A463S;ALLIANZ SOCIETA' PER AZIONI
2601;A000012409;D866R;ZURICH INSURANCE EUROPE AG
2602;A000012409;X497R;ZURICH INSURANCE COMPANY LTD
2603;A000012410;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
2604;A000012410;A339S;CNP VITA ASSICURA S.P.A.
2605;A000012410;A463S;ALLIANZ SOCIETA' PER AZIONI
2606;A000012415;A044S;GENERALI ITALIA S.P.A.
2607;A000012415;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
2608;A000012415;A390S;EUROP ASSISTANCE ITALIA S.P.A.
2609;A000012417;A342S;UNISALUTE S.P.A.
2610;A000012417;A505S;UNIPOL ASSICURAZIONI S.P.A.
2611;A000012420;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
2612;A000012420;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
2613;A000012422;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
2614;A000012422;A463S;ALLIANZ SOCIETA' PER AZIONI
2615;A000012422;A505S;UNIPOL ASSICURAZIONI S.P.A.
2616;A000012422;D878R;ALLIANZ GLOBAL LIFE DAC
2617;A000012422;D891R;AWP P&C S.A.
2618;A000012423;A044S;GENERALI ITALIA S.P.A.
2619;A000012423;A390S;EUROP ASSISTANCE ITALIA S.P.A.
2620;A000012426;A342S;UNISALUTE S.P.A.
2621;A000012426;A505S;UNIPOL ASSICURAZIONI S.P.A.
2622;A000012428;A342S;UNISALUTE S.P.A.
2623;A000012428;A390S;EUROP ASSISTANCE ITALIA S.P.A.
2624;A000012428;A416S;COMPAGNIA ASSICURATRICE LINEAR S.P.A.
2625;A000012428;A505S;UNIPOL ASSICURAZIONI S.P.A.
2626;A000012430;A044S;GENERALI ITALIA S.P.A.
2627;A000012431;A044S;GENERALI ITALIA S.P.A.
2628;A000012432;A342S;UNISALUTE S.P.A.
2629;A000012432;A505S;UNIPOL ASSICURAZIONI S.P.A.
2630;A000012439;A044S;GENERALI ITALIA S.P.A.
2631;A000012439;A055X;HDI ASSICURAZIONI S.P.A.
2632;A000012439;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
2633;A000012439;A463S;ALLIANZ SOCIETA' PER AZIONI
2634;A000012439;D840R;MAPFRE ASISTENCIA, COMPAÑIA INTERNATIONAL DE SEGUROS Y REASEGUROS, S.A.
2635;A000012439;D846R;VEREINIGTE HAGELVERSICHERUNG VVAG
2636;A000012439;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
2637;A000012446;A056M;ITAS - ISTITUTO TRENTINO-ALTO ADIGE PER ASSICURAZIONI SOCIETA' MUTUA DI ASSICURAZIONI
2638;A000012446;A183S;ITAS VITA S.P.A.
2639;A000012446;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
2640;A000012446;A357S;ASSIMOCO VITA S.P.A. COMPAGNIA DI ASSICURAZIONE SULLA VITA
2641;A000012446;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
2642;A000012448;A056M;ITAS - ISTITUTO TRENTINO-ALTO ADIGE PER ASSICURAZIONI SOCIETA' MUTUA DI ASSICURAZIONI
2643;A000012448;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
2644;A000012448;A183S;ITAS VITA S.P.A.
2645;A000012448;A337S;NOBIS VITA S.P.A.
2646;A000012448;A342S;UNISALUTE S.P.A.
2647;A000012448;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
2648;A000012448;A505S;UNIPOL ASSICURAZIONI S.P.A.
2649;A000012454;A044S;GENERALI ITALIA S.P.A.
2650;A000012454;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
2651;A000012454;A390S;EUROP ASSISTANCE ITALIA S.P.A.
2652;A000012457;A037S;AXA ASSICURAZIONI S.P.A.
2653;A000012457;C399R;INTER PARTNER ASSISTANCE SA
2654;A000012457;D870R;AXA LIFE EUROPE DAC
2655;A000012457;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
2656;A000012457;D962R;XL INSURANCE COMPANY SE
2657;A000012461;A044S;GENERALI ITALIA S.P.A.
2658;A000012461;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
2659;A000012461;A390S;EUROP ASSISTANCE ITALIA S.P.A.
2660;A000012462;A055X;HDI ASSICURAZIONI S.P.A.
2661;A000012462;A077S;ZURICH INVESTMENTS LIFE S.P.A.
2662;A000012462;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
2663;A000012462;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
2664;A000012462;A213S;ATHORA ITALIA S.P.A.
2665;A000012462;A327S;ASSICURATRICE MILANESE SPA - COMPAGNIA DI ASSICURAZIONI
2666;A000012462;A339S;CNP VITA ASSICURA S.P.A.
2667;A000012462;A342S;UNISALUTE S.P.A.
2668;A000012462;A390S;EUROP ASSISTANCE ITALIA S.P.A.
2669;A000012462;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
2670;A000012462;A463S;ALLIANZ SOCIETA' PER AZIONI
2671;A000012462;A480S;REVO INSURANCE S.P.A.
2672;A000012462;A484S;TUTELA LEGALE S.P.A.
2673;A000012462;A505S;UNIPOL ASSICURAZIONI S.P.A.
2674;A000012462;C218R;HDI GLOBAL SE
2675;A000012462;D866R;ZURICH INSURANCE EUROPE AG
2676;A000012462;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
2677;A000012462;D957R;CHUBB EUROPEAN GROUP SE
2678;A000012462;D963R;LIBERTY MUTUAL INSURANCE EUROPE SE
2679;A000012462;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
2680;A000012462;X497R;ZURICH INSURANCE COMPANY LTD
2681;A000012467;A056M;ITAS - ISTITUTO TRENTINO-ALTO ADIGE PER ASSICURAZIONI SOCIETA' MUTUA DI ASSICURAZIONI
2682;A000012467;A183S;ITAS VITA S.P.A.
2683;A000012468;A037S;AXA ASSICURAZIONI S.P.A.
2684;A000012468;C399R;INTER PARTNER ASSISTANCE SA
2685;A000012468;D870R;AXA LIFE EUROPE DAC
2686;A000012469;A342S;UNISALUTE S.P.A.
2687;A000012469;A505S;UNIPOL ASSICURAZIONI S.P.A.
2688;A000012473;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
2689;A000012473;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
2690;A000012473;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
2691;A000012473;A339S;CNP VITA ASSICURA S.P.A.
2692;A000012473;A390S;EUROP ASSISTANCE ITALIA S.P.A.
2693;A000012473;A416S;COMPAGNIA ASSICURATRICE LINEAR S.P.A.
2694;A000012473;A463S;ALLIANZ SOCIETA' PER AZIONI
2695;A000012473;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
2696;A000012475;A056M;ITAS - ISTITUTO TRENTINO-ALTO ADIGE PER ASSICURAZIONI SOCIETA' MUTUA DI ASSICURAZIONI
2697;A000012475;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
2698;A000012475;A152M;VHV ITALIA ASSICURAZIONI S.P.A.
2699;A000012475;A342S;UNISALUTE S.P.A.
2700;A000012475;A505S;UNIPOL ASSICURAZIONI S.P.A.
2701;A000012477;A055X;HDI ASSICURAZIONI S.P.A.
2702;A000012477;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
2703;A000012477;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
2704;A000012480;A056M;ITAS - ISTITUTO TRENTINO-ALTO ADIGE PER ASSICURAZIONI SOCIETA' MUTUA DI ASSICURAZIONI
2705;A000012480;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
2706;A000012480;A183S;ITAS VITA S.P.A.
2707;A000012480;A327S;ASSICURATRICE MILANESE SPA - COMPAGNIA DI ASSICURAZIONI
2708;A000012480;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
2709;A000012480;A478S;AMTRUST ASSICURAZIONI S.P.A.
2710;A000012480;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
2711;A000012483;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
2712;A000012483;A294S;SARA VITA S.P.A.
2713;A000012485;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
2714;A000012485;A463S;ALLIANZ SOCIETA' PER AZIONI
2715;A000012485;A505S;UNIPOL ASSICURAZIONI S.P.A.
2716;A000012485;D878R;ALLIANZ GLOBAL LIFE DAC
2717;A000012485;D891R;AWP P&C S.A.
2718;A000012485;D956R;ALLIANZ LEBENSVERSICHERUNGS-AG
2719;A000012485;X051R;HELVETIA COMPAGNIA SVIZZERA D'ASSICURAZIONI S.A.
2720;A000012488;A056M;ITAS - ISTITUTO TRENTINO-ALTO ADIGE PER ASSICURAZIONI SOCIETA' MUTUA DI ASSICURAZIONI
2721;A000012488;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
2722;A000012488;A183S;ITAS VITA S.P.A.
2723;A000012488;A339S;CNP VITA ASSICURA S.P.A.
2724;A000012488;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
2725;A000012488;A458S;SACE BT S.P.A.
2726;A000012488;A492S;S2C S.P.A. COMPAGNIA DI ASSICURAZIONI DI CREDITI E CAUZIONI
2727;A000012488;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
2728;A000012488;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
2729;A000012498;A037S;AXA ASSICURAZIONI S.P.A.
2730;A000012498;A127S;UCA - ASSICURAZIONE SPESE LEGALI E PERITALI S.P.A.
2731;A000012498;C399R;INTER PARTNER ASSISTANCE SA
2732;A000012498;D870R;AXA LIFE EUROPE DAC
2733;A000012500;A056M;ITAS - ISTITUTO TRENTINO-ALTO ADIGE PER ASSICURAZIONI SOCIETA' MUTUA DI ASSICURAZIONI
2734;A000012500;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
