NUMERO_ISCRIZIONE_D;RAGIONE_SOCIALE;COGNOME_NOME_RESPONSABILE
D000070759;BANCA DI CREDITO COOPERATIVO DI SANTERAMO IN COLLE(BARI) SOC.COOP.;PERNIOLA VITO BRUNO
D000027036;BANCA DI CREDITO COOPERATIVO DI SARSINA SOCIETA' COOPERATIVA;BARTOLINI RITA
D000027036;BANCA DI CREDITO COOPERATIVO DI SARSINA SOCIETA' COOPERATIVA;FANTINI  ANGELO
D000186434;BANCA DI CREDITO COOPERATIVO DI SCAFATI E CETARA;DE MARTINO ALFONSO
D000027058;BANCA DI CREDITO COOPERATIVO DI SPELLO E DEL VELINO SOCIETA' COOPERATIVA;FASI CESARE
D000088875;BANCA DI CREDITO COOPERATIVO LA RISCOSSA DI REGALBUTO SOC. COOP.;LUCA GAETANO
D000027176;BANCA DI CREDITO COOPERATIVO LODI;ROTA IVO
D000070992;BANCA DI CREDITO COOPERATIVO MAGNA GRECIA - SOCIETA' COOPERATIVA;GIULIO TOMMASO TONINO
D000027136;BANCA DI CREDITO COOPERATIVO MARINA DI GINOSA;D'ERCHIA MICHELANGELO
D000026943;BANCA DI CREDITO COOPERATIVO PORDENONESE E MONSILE;CHIOZZA STEFANO
D000108701;BANCA DI CREDITO COOPERATIVO TERRA DI LAVORO - S. VINCENZO DE' PAOLI SCPA;MARTUCCI SFEFANO
D000026971;BANCA DI CREDITO COOPERATIVO VALDOSTANA SOC. COOP.;CUIGNON ANNA
D000128701;BANCA DI CREDITO COOPERATIVO VALLE DEL TORTO - SOCIETA' COOPERATIVA;CANGIALOSI ANTONELLA
D000027084;BANCA DI CREDITO COOPERATIVO VENEZIA GIULIA;FURLANUT ROBERTO
D000056243;BANCA DI CREDITO COOPERATIVO VENEZIA PADOVA E ROVIGO - BANCA ANNIA SOCIETÀ COOPERATIVA;FERRARESE GIOVANNI
D000167285;BANCA DI CREDITO COOPERATIVO VICENTINO POJANA MAGGIORE;PELLIZZARI MAURIZIO
D000080292;BANCA DI CREDITO POPOLARE SCPA;AURILIA PAOLO
D000077759;BANCA DI FILOTTRANO CREDITO COOPERATIVO DI FILOTTRANO E DI CAMERANO SOCIETA' COOPERATIVA;VALENTINI STEFANO
D000078677;BANCA DI PESARO CREDITO COOPERATIVO;BENEDETTI PAOLO
D000027047;BANCA DI PESCIA E CASCINA CREDITO COOPERATIVO - SOCIETA' COOPERATIVA S.C.;ORRU' LUCA
D000080291;BANCA DI PIACENZA - SOCIETA' COOPERATIVA PER AZIONI;GIANCANI MAURIZIO
D000026948;BANCA DI RIPATRANSONE E DEL FERMANO - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA;VERDECCHIA VITO
D000201452;BANCA DI SCONTO S.P.A.;COSENTINI  OSCAR
D000059545;BANCA DI UDINE CREDITO COOPERATIVO SOC. SOOP.;GEROMETTA MASSIMILIANO
D000053260;BANCA DON RIZZO - CREDITO COOPERATIVO DELLA SICILIA OCCIDENTALE - SOCIETA' COOPERATIVA;STELLINO ENRICO DOMENICO SAVIO
D000801087;BANCA FINANZIARIA INTERNAZIONALE S.P.A. BREVITER BANCA FININT S.P.A.;CALZA MASSIMILIANO
D000258444;BANCA FINNAT EURAMERICA SPA;CORSONI MAURIZIO
D000058316;BANCA GENERALI SPA;BERNARDI MARCO
D000058316;BANCA GENERALI SPA;RAGAINI ANDREA ENRICO
D000407542;BANCA IFIGEST S.P.A.;ALGIERI ENRICO
