OSS;NUMERO_ISCRIZIONE_RUI_PF;NUMERO_ISCRIZIONE_RUI_PG;QUALIFICA_INTERMEDIARIO;RESPONSABILE
245;A000052328;A000111338;Responsabile dell'attività di intermediazione;
246;A000052328;A000052644;Responsabile dell'attività di intermediazione;
247;A000097437;A000097533;Responsabile dell'attività di intermediazione;
248;A000097438;A000085106;Responsabile dell'attività di intermediazione;
249;A000097451;A000421459;Responsabile dell'attività di intermediazione;
250;A000156121;A000312227;Responsabile dell'attività di intermediazione;
251;A000085387;A000085539;Responsabile dell'attività di intermediazione;
252;A000126476;A000322869;Responsabile dell'attività di intermediazione;
253;A000071668;A000072648;Responsabile dell'attività di intermediazione;
254;A000126889;A000343924;Responsabile dell'attività di intermediazione;
255;A000115278;A000599405;Responsabile dell'attività di intermediazione;
256;A000133867;A000625040;Responsabile dell'attività di intermediazione;
257;A000117437;A000735675;Responsabile dell'attività di intermediazione;
258;A000082296;A000234518;Responsabile dell'attività di intermediazione;
259;A000185402;A000591614;Responsabile dell'attività di intermediazione;
260;A000069458;A000066076;Responsabile dell'attività di intermediazione;
261;A000058796;A000234582;Responsabile dell'attività di intermediazione;
262;A000128157;A000558018;Responsabile dell'attività di intermediazione;
263;A000100164;A000061503;Responsabile dell'attività di intermediazione;
264;A000085606;A000258789;Responsabile dell'attività di intermediazione;
265;A000069033;A000343780;Responsabile dell'attività di intermediazione;
266;A000064960;A000011916;Responsabile dell'attività di intermediazione;
267;A000086763;A000086764;Responsabile dell'attività di intermediazione;
268;A000128155;A000558018;Responsabile dell'attività di intermediazione;
269;A000146334;A000137543;Responsabile dell'attività di intermediazione;
270;A000086723;A000085058;Responsabile dell'attività di intermediazione;
271;A000069490;A000821905;Responsabile dell'attività di intermediazione;
272;A000069513;A000060704;Responsabile dell'attività di intermediazione;
273;A000076994;A000077012;Responsabile dell'attività di intermediazione;
274;A000164523;A000121007;Responsabile dell'attività di intermediazione;
275;A000096810;A000116779;Responsabile dell'attività di intermediazione;
276;A000144001;A000781613;Responsabile dell'attività di intermediazione;
277;A000053825;A000319775;Responsabile dell'attività di intermediazione;
278;A000039522;A000058114;Responsabile dell'attività di intermediazione;
279;A000072355;A000072494;Responsabile dell'attività di intermediazione;
280;A000038030;A000741996;Responsabile dell'attività di intermediazione;
281;A000064974;A000556501;Responsabile dell'attività di intermediazione;
282;A000187328;A000173937;Responsabile dell'attività di intermediazione;
283;A000186305;A000165910;Responsabile dell'attività di intermediazione;
284;A000197169;A000065781;Responsabile dell'attività di intermediazione;
285;A000139044;A000068930;Responsabile dell'attività di intermediazione;
286;A000052679;A000058092;Responsabile dell'attività di intermediazione;
287;B000728369;B000729599;Responsabile dell'attività di intermediazione;
288;A000144484;A000124453;Responsabile dell'attività di intermediazione;
289;A000147044;A000147048;Responsabile dell'attività di intermediazione;
290;A000010814;A000231735;Responsabile dell'attività di intermediazione;
291;A000010732;A000377664;Responsabile dell'attività di intermediazione;
292;A000072707;A000190187;Responsabile dell'attività di intermediazione;
293;A000187611;A000538627;Responsabile dell'attività di intermediazione;
294;A000115910;A000360155;Responsabile dell'attività di intermediazione;
295;A000071964;A000308056;Responsabile dell'attività di intermediazione;
296;A000063558;A000063415;Responsabile dell'attività di intermediazione;
297;A000170157;A000155086;Responsabile dell'attività di intermediazione;
298;A000185560;A000185530;Responsabile dell'attività di intermediazione;
299;A000054979;A000258496;Responsabile dell'attività di intermediazione;
300;B000086340;B000511269;Rappresentante Legale;
301;A000099417;A000098205;Responsabile dell'attività di intermediazione;
302;A000100010;A000119404;Responsabile dell'attività di intermediazione;
303;A000086304;A000086269;Responsabile dell'attività di intermediazione;
304;A000186938;A000058844;Responsabile dell'attività di intermediazione;
305;B000617433;B000536513;Amministratore Delegato;
306;A000053097;A000073398;Responsabile dell'attività di intermediazione;
307;A000100724;A000150386;Responsabile dell'attività di intermediazione;
308;B000127548;B000444653;Responsabile dell'attività di intermediazione;
309;A000169036;A000727354;Responsabile dell'attività di intermediazione;
310;A000180980;A000294418;Responsabile dell'attività di intermediazione;
311;A000063507;A000670558;Responsabile dell'attività di intermediazione;
312;A000063527;A000063904;Responsabile dell'attività di intermediazione;
